cons_strat,STUDY,SPECIES,SIGN,,,35 studies
hybridization,Johnson et al 2010,Ambystoma_californiense,neg,,,33 species
demographic_rescue,Zeisset and Beebee 2013,Bufo_bufo,0,,,
genetic_rescue,Weeks et al 2017,Burramys_parvus,pos,,,
genetic_rescue,Waite et al 2005,Callosobruchus_maculatus,0,,,
genetic_rescue,Adams et al. 2011,Canus_lupus,pos,,,
genetic_rescue,Akesson et al. 2016,Canus_lupus,pos,,,
genetic_rescue,Harding et al 2016,Canus_lupus,pos,,,
hybridization,Zhang et al 2016,Crassostrea_gigas,neg,,,
hybridization,Zhang et al 2016,Crassostrea_hongkongensis,neg,,,
evol_rescue,Pekkala et al 2012,Drosophilia_littoralis,pos,,,
genetic_rescue,Heber et al 2012,Drosophilia_melanogaster,0,,,
demographic_rescue,Molony et al. 2006,Erinaceus_europaeus,pos,,,
hybridization,Jan?úchová-Lásková et al 2015,Eublepharis_angramainyu,neg,,,
hybridization,Jan?úchová-Lásková et al 2015,Eublepharis_macularius,neg,,,
hybridization,Costa e Silva et al 2012,Eucalyptus_globulus,0,,,
hybridization,Costa e Silva et al 2012,Eucalyptus_nitens,0,,,
genetic_rescue,Pavlova et al 2017,Macquaria_australasica,pos,,,
demographic_rescue,Ren et al. 2016,Manglietia_longipedunculata,neg,,,
demographic_rescue,Willis et al. 2009,Melanargia_galathea,neg,,,
demographic_rescue,Smyser et al 2013,Neotoma_magister,0,,,
trans_plast,Gibbin et al 2017,Ophryotrocha_labronica,0,,,
trans_plast,Rodriguez Romero et al 2015,Ophryotrocha_labronica,0,,,
genetic_rescue,Hogg et al 2006,Ovis_canadensis,pos,,,
genetic_rescue,Jangjoo et al 2016,Parnassius_smintheus,pos,,,
demographic_rescue,Tabi et al. 2016,Pinus_nigra,pos,,,
demographic_rescue,Vizcaino-Palomar et al. 2014,Pinus_pinaster,pos,,,
hybridization,Cremieux et al 2010,Plantago_lanceolata,0,,,
evol_rescue,Fitzpatrick et al 2016,Poecilia_reticulata,0,,,
genetic_rescue,Tollington et al. 2013,Psittacula_echo,pos,,,
genetic_rescue,Willi et al 2007,Ranunculus_reptans,0,,,
hybridization,Stelkens et al. 2014,Saccharomyces,pos,,,
demographic_rescue,Ren et al. 2012,Tigridiopalma_magnifica,pos,,,
evol_rescue,Huang et al. 2016,Tigriopus_californicus,0,,,
evol_rescue,Pereira et al 2014,Tigriopus_californicus,0,,,
demographic_rescue,Hufbauer et al 2015,Tribolium_castaneum,0,,,
evol_rescue,Hufbauer et al 2015,Tribolium_castaneum,pos,,,
genetic_rescue,Bouzat et al. 2009,Tympanuchus_cupido_pinnatus,neg,,,
genetic_rescue,Westemeier et al. 1998,Tympanuchus_cupido_pinnatus,0,,,
genetic_rescue,Madsen et al. 2004,Vipera_berus,pos,,,
